Wall time,Step,meta_batch_train_loss,original_train_loss
1539407422,0,2270.8396,2296.060547
1539407442,1,1934.009399,2090.016846
1539407462,2,1677.377441,1855.678955
1539407496,3,1498.542358,1680.668701
1539407516,4,1387.873657,1606.346436
1539407536,5,1302.26062,1537.273926
1539407570,6,1095.421875,1467.895752
1539407590,7,1030.419556,1435.713867
1539407610,8,1015.168701,1406.42688
1539407643,9,784.6275635,1344.885498
1539407663,10,786.4376831,1313.585327
1539407683,11,750.1236572,1301.844482
1539407717,12,750.6506348,1243.906372
1539407736,13,730.2824707,1223.029053
1539407756,14,720.8313599,1215.150024
1539407790,15,695.8028564,1180.460693
1539407810,16,694.9341431,1141.283936
1539407830,17,701.9475708,1147.950073
1539407863,18,654.5742188,1094.497192
1539407883,19,654.1427612,1090.894897
1539407903,20,661.00354,1104.203125
1539407937,21,608.0892944,1033.346436
1539407957,22,613.2681274,1039.364014
1539407977,23,615.4442139,1055.508057
1539408011,24,579.5933838,996.1350098
1539408031,25,587.2963257,1000.211365
1539408050,26,594.6762085,998.244812
1539408085,27,547.7659302,964.7960815
1539408104,28,561.8728638,949.645874
1539408124,29,568.4220581,963.7687988
1539408158,30,520.4257813,917.6531372
1539408178,31,534.0961304,919.8775635
1539408198,32,555.3634033,925.3406372
1539408231,33,493.4367981,881.6748657
1539408251,34,520.7695923,893.5037231
1539408271,35,538.6698608,895.475708
1539408305,36,486.379364,832.4694214
1539408325,37,487.4541626,853.8696899
1539408345,38,513.6986084,884.1418457
1539408379,39,452.8082275,808.1985474
1539408398,40,482.1647034,831.585022
1539408418,41,486.8416443,836.6702881
1539408452,42,426.5375977,779.1832275
1539408472,43,451.8875732,799.5977173
1539408492,44,467.4756165,821.8522339
1539408525,45,405.6390686,766.734436
1539408545,46,416.409668,768.1279297
1539408565,47,450.412384,792.7885742
1539408599,48,378.9266663,713.7833252
1539408619,49,408.3639832,750.1119385
1539408639,50,417.3001099,770.9476318
1539408673,51,376.432251,691.5978394
1539408692,52,390.2297668,726.9765015
1539408712,53,410.8178711,748.5913696
1539408746,54,357.8729858,670.1801758
1539408766,55,375.3165894,701.9887695
1539408785,56,382.9491272,740.4190063
1539408819,57,330.4849548,648.869812
1539408839,58,348.7974548,684.0316772
1539408859,59,392.7223206,687.1515503
1539408893,60,327.3177185,616.9786987
1539408913,61,336.9718018,670.706665
1539408933,62,359.5334473,683.2368164
1539408966,63,305.5667725,607.6881104
1539408986,64,328.909729,633.3885498
1539409006,65,354.2509155,668.4052124
1539409040,66,303.9888611,580.7119751
1539409060,67,315.704895,620.4785767
1539409080,68,325.082428,632.9483032
1539409114,69,262.1546936,550.0061035
1539409134,70,311.0110474,605.6708374
1539409153,71,321.3531799,626.6774292
1539409187,72,276.3208618,537.559082
1539409207,73,304.3944397,573.1672974
1539409227,74,315.6307373,610.0309448
1539409261,75,254.4555054,529.6048584
1539409281,76,287.729187,562.6660767
1539409301,77,278.8346558,586.8967896
1539409335,78,245.9978943,498.6522827
1539409355,79,262.7169495,545.7523193
1539409375,80,287.6187439,572.867981
1539409409,81,890.758667,486.182312
1539409429,82,843.3745728,527.8023682
1539409449,83,830.8643799,558.0615845
1539409483,84,729.4594727,462.8236389
1539409503,85,757.0198364,519.8516235
1539409523,86,762.3328247,541.2394409
1539409557,87,669.8983154,462.9451294
1539409577,88,713.9562988,504.4233398
1539409597,89,725.046936,521.4002686
1539409632,90,643.7799072,450.28302
1539409652,91,669.3560791,478.5866394
1539409672,92,693.2545166,510.1460266
1539409706,93,608.972229,433.1890259
1539409726,94,648.5604858,469.4491882
1539409746,95,666.6594238,492.20755
1539409780,96,595.3864136,425.1898804
1539409800,97,622.147583,459.658783
1539409820,98,635.6287231,491.1053772
1539409854,99,568.7959595,398.414032
1539409874,100,592.1677856,433.8501587
1539409894,101,613.7107544,472.8026733
1539409928,102,549.5147095,379.3833008
1539409948,103,562.043396,431.4535522
1539409968,104,593.0391235,464.0102844
1539410002,105,517.0983887,387.165741
1539410022,106,547.081604,436.6092529
1539410042,107,573.8617554,448.4072571
1539410076,108,494.5514221,373.938385
1539410096,109,533.4365845,407.517395
1539410116,110,552.4180298,447.2232666
1539410151,111,488.3338013,351.5499573
1539410171,112,520.9411621,403.6022644
1539410191,113,530.0116577,444.1774292
1539410225,114,450.5847778,336.497406
1539410245,115,491.3223877,390.8333435
1539410265,116,527.0973511,430.5410461
1539410299,117,440.1342468,338.4915466
1539410319,118,473.9576416,380.6863098
1539410339,119,515.2388916,408.5350342
